1    |Code: LITYRV   |Title: About_Last_Night...   |Type: W   |Available copies: 4   |Adaptation: ALL   |Ownership: Hachirama
53    |Code: AAGPUN   |Title: Ice_Age:_A   |Type: O   |Available copies: 1   |Adaptation: A   |Ownership: Steph
54    |Code: OMRZCD   |Title: Mammoth_Christmas   |Type: C   |Available copies: 5   |Adaptation: K   |Ownership: Lulu
55    |Code: HWWJZE   |Title: Ice_Age:_Continental_Drift   |Type: O   |Available copies: 3   |Adaptation: AD   |Ownership: Jeffy
56    |Code: JSRHIG   |Title: Ice_Age:_Collision_Course   |Type: O   |Available copies: 1   |Adaptation: ALL   |Ownership: Steph
57    |Code: AJITJO   |Title: Red_Dawn   |Type: AN   |Available copies: 1   |Adaptation: K   |Ownership: Steph
58    |Code: QIIBYR   |Title: Red_Dragon   |Type: O   |Available copies: 3   |Adaptation: AD   |Ownership: Hachirama
59    |Code: HIXCLG   |Title: Red_Eye   |Type: AN   |Available copies: 2   |Adaptation: ALL   |Ownership: Hachirama
60    |Code: RNHOHS   |Title: Red_Hot_Riding_Hood   |Type: W   |Available copies: 3   |Adaptation: A   |Ownership: Jeffy
61    |Code: AHPAMT   |Title: Red_River   |Type: W   |Available copies: 1   |Adaptation: ALL   |Ownership: Steph
62    |Code: LQRUWN   |Title: Red_Rock_West   |Type: AN   |Available copies: 1   |Adaptation: A   |Ownership: Steph
63    |Code: BPNKLH   |Title: Red_Shoes_The_(1948)   |Type: O   |Available copies: 4   |Adaptation: K   |Ownership: Hachirama
64    |Code: NIVJRI   |Title: Red_Sonja_(1985)   |Type: C   |Available copies: 4   |Adaptation: AD   |Ownership: Hachirama
65    |Code: VGDBUO   |Title: Red_Tails   |Type: O   |Available copies: 3   |Adaptation: ALL   |Ownership: Jeffy
66    |Code: TZCYQV   |Title: Star_Trek:_The_Motion_Picture   |Type: O   |Available copies: 1   |Adaptation: AD   |Ownership: Steph
67    |Code: GMDYTN   |Title: (1979)   |Type: AN   |Available copies: 1   |Adaptation: K   |Ownership: Steph
68    |Code: DVKAHW   |Title: Star_Trek_II:_The_Wrath_of_Khan   |Type: O   |Available copies: 4   |Adaptation: A   |Ownership: Hachirama
69    |Code: DEFBNU   |Title: Star_Trek_III:_The_Search_for_Spock   |Type: C   |Available copies: 2   |Adaptation: A   |Ownership: Zack
70    |Code: PAMQLQ   |Title: About_Me   |Type: S   |Available copies: 21   |Adaptation: ALL   |Ownership: Zack
